,n_estimators,lr,max_features,max_depth,train acc,test acc,R2 score
403,450.0,0.125,5.0,7.0,0.9269662921348315,0.8547486033519553,0.6906417112299466
432,450.0,0.15,7.0,5.0,0.9269662921348315,0.8547486033519553,0.6906417112299466
578,500.0,0.175,5.0,7.0,0.9269662921348315,0.8547486033519553,0.6906417112299466
17,300.0,0.1,15.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
23,300.0,0.1,18.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
28,300.0,0.125,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
48,300.0,0.125,18.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
78,300.0,0.175,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
82,300.0,0.175,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
102,300.0,0.2,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
148,350.0,0.1,18.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
149,350.0,0.1,18.0,10.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
157,350.0,0.125,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
172,350.0,0.125,18.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
177,350.0,0.15,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
178,350.0,0.15,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
202,350.0,0.175,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
232,350.0,0.2,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
277,400.0,0.125,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
278,400.0,0.125,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
282,400.0,0.125,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
283,400.0,0.125,7.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
292,400.0,0.125,15.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
302,400.0,0.15,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
303,400.0,0.15,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
307,400.0,0.15,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
308,400.0,0.15,7.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
357,400.0,0.2,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
382,450.0,0.1,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
402,450.0,0.125,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
452,450.0,0.175,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
457,450.0,0.175,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
462,450.0,0.175,10.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
477,450.0,0.2,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
482,450.0,0.2,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
503,500.0,0.1,5.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
507,500.0,0.1,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
512,500.0,0.1,10.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
527,500.0,0.125,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
532,500.0,0.125,7.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
533,500.0,0.125,7.0,7.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
552,500.0,0.15,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
577,500.0,0.175,5.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
587,500.0,0.175,10.0,5.0,0.9269662921348315,0.8491620111731844,0.6906417112299466
3,300.0,0.1,5.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
13,300.0,0.1,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
37,300.0,0.125,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
39,300.0,0.125,10.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
44,300.0,0.125,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
57,300.0,0.15,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
63,300.0,0.15,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
73,300.0,0.15,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
74,300.0,0.15,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
83,300.0,0.175,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
88,300.0,0.175,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
97,300.0,0.175,18.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
98,300.0,0.175,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
107,300.0,0.2,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
108,300.0,0.2,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
109,300.0,0.2,7.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
129,350.0,0.1,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
139,350.0,0.1,10.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
144,350.0,0.1,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
